model,prompt,situation,method,method_label,score_kind,budget_index,budget_fraction,logit_relative_l2_error,logit_cosine_error,dense_to_sparse_kl,top1_agreement,dense_nll,sparse_nll,nll_delta,projection_calls,selected_fraction_mean,fallback_calls
tiny11,test_short_korean,short,paper,Paper |x|,abs,0,0.1,1.2184169292449951,1.0215044021606445,11.324609756469727,0.0,1.5688916444778442,12.600632667541504,11.03174114227295,154,0.09810014204545454,0
tiny11,test_short_korean,short,paper,Paper |x|,abs,1,0.15,1.203705906867981,0.9766126275062561,11.469514846801758,0.0,1.5688916444778442,12.46452522277832,10.895633697509766,154,0.14933796672077923,0
tiny11,test_short_korean,short,paper,Paper |x|,abs,2,0.2,1.125982403755188,0.7944044470787048,10.769906997680664,0.0,1.5688916444778442,12.01132583618164,10.442434310913086,154,0.19876217532467533,0
tiny11,test_short_korean,short,paper,Paper |x|,abs,3,0.25,1.1193711757659912,0.8469656705856323,10.781023025512695,0.0,1.5688916444778442,11.669533729553223,10.100642204284668,154,0.25,0
tiny11,test_short_korean,short,paper,Paper |x|,abs,4,0.3,1.127518892288208,0.8756966590881348,10.127689361572266,0.0,1.5688916444778442,11.244340896606445,9.67544937133789,154,0.2990056818181818,0
tiny11,test_short_korean,short,paper,Paper |x|,abs,5,0.35,1.2276794910430908,1.028124451637268,10.720669746398926,0.0,1.5688916444778442,11.864005088806152,10.295113563537598,154,0.34810014204545453,0
tiny11,test_short_korean,short,paper,Paper |x|,abs,6,0.4,1.0829901695251465,0.7588313221931458,10.439065933227539,0.0,1.5688916444778442,11.449686050415039,9.880794525146484,154,0.3993379667207792,0
tiny11,test_short_korean,short,paper,Paper |x|,abs,7,0.45,1.2173335552215576,0.643113911151886,11.125389099121094,0.0,1.5688916444778442,12.411736488342285,10.84284496307373,154,0.44876217532467544,0
tiny11,test_short_korean,short,paper,Paper |x|,abs,8,0.5,1.1358997821807861,0.6792001724243164,10.305603981018066,0.0,1.5688916444778442,11.15735912322998,9.588467597961426,154,0.5,0
tiny11,test_short_korean,short,paper,Paper |x|,abs,9,0.55,1.1409165859222412,0.6079568862915039,9.864985466003418,0.0,1.5688916444778442,10.992302894592285,9.42341136932373,154,0.5490056818181818,0
tiny11,test_short_korean,short,paper,Paper |x|,abs,10,0.6,1.0463014841079712,0.537624716758728,7.5099287033081055,0.05797101557254791,1.5688916444778442,8.542740821838379,6.973849296569824,154,0.5981001420454546,0
tiny11,test_short_korean,short,paper,Paper |x|,abs,11,0.65,1.049668312072754,0.5969942808151245,7.519664764404297,0.0,1.5688916444778442,8.629859924316406,7.060968399047852,154,0.6493379667207793,0
tiny11,test_short_korean,short,paper,Paper |x|,abs,12,0.7,0.9267629981040955,0.5027692914009094,3.831552743911743,0.260869562625885,1.5688916444778442,4.819401741027832,3.2505102157592773,154,0.6987621753246754,0
tiny11,test_short_korean,short,paper,Paper |x|,abs,13,0.75,0.8906086087226868,0.4776390790939331,3.687162160873413,0.2753623127937317,1.5688916444778442,4.662595748901367,3.0937042236328125,154,0.75,0
tiny11,test_short_korean,short,paper,Paper |x|,abs,14,0.8,0.7895964980125427,0.3417835235595703,2.5710396766662598,0.3188405930995941,1.5688916444778442,3.6413590908050537,2.07246732711792,154,0.7990056818181818,0
tiny11,test_short_korean,short,paper,Paper |x|,abs,15,0.85,0.6304344534873962,0.20212161540985107,1.3895647525787354,0.4637681245803833,1.5688916444778442,2.570042133331299,1.0011504888534546,154,0.8481001420454546,0
tiny11,test_short_korean,short,paper,Paper |x|,abs,16,0.9,0.5262008905410767,0.14419490098953247,0.8769300580024719,0.5507246255874634,1.5688916444778442,2.0953731536865234,0.5264815092086792,154,0.8993379667207794,0
tiny11,test_short_korean,short,paper,Paper |x|,abs,17,0.95,0.3984908163547516,0.08036655187606812,0.29850128293037415,0.7536231875419617,1.5688916444778442,1.6474676132202148,0.0785759687423706,154,0.9487621753246753,0
tiny11,test_short_korean,short,cell1_abs_lookup,Cell-1 |x| lookup,abs,0,0.1,1.2692794799804688,1.102464199066162,11.828452110290527,0.0,1.5688916444778442,13.200852394104004,11.63196086883545,154,0.1000786323051948,0
tiny11,test_short_korean,short,cell1_abs_lookup,Cell-1 |x| lookup,abs,1,0.15,1.109369158744812,0.7310935258865356,10.855578422546387,0.0,1.5688916444778442,11.898978233337402,10.330086708068848,154,0.14992136769480519,0
tiny11,test_short_korean,short,cell1_abs_lookup,Cell-1 |x| lookup,abs,2,0.2,1.109842300415039,0.7966830730438232,10.455867767333984,0.0,1.5688916444778442,11.440711975097656,9.871820449829102,154,0.2001572646103896,0
tiny11,test_short_korean,short,cell1_abs_lookup,Cell-1 |x| lookup,abs,3,0.25,1.2583394050598145,1.0879263877868652,11.446621894836426,0.0,1.5688916444778442,12.732647895812988,11.163756370544434,154,0.25,0
tiny11,test_short_korean,short,cell1_abs_lookup,Cell-1 |x| lookup,abs,4,0.3,1.0876668691635132,0.7411437034606934,9.838138580322266,0.0,1.5688916444778442,10.967408180236816,9.398516654968262,154,0.29984273538961037,0
tiny11,test_short_korean,short,cell1_abs_lookup,Cell-1 |x| lookup,abs,5,0.35,1.1906784772872925,0.9754918217658997,11.270994186401367,0.0,1.5688916444778442,12.414995193481445,10.84610366821289,154,0.35007863230519487,0
tiny11,test_short_korean,short,cell1_abs_lookup,Cell-1 |x| lookup,abs,6,0.4,1.0967267751693726,0.7287834882736206,10.040603637695312,0.0,1.5688916444778442,11.096192359924316,9.527300834655762,154,0.39992136769480513,0
tiny11,test_short_korean,short,cell1_abs_lookup,Cell-1 |x| lookup,abs,7,0.45,1.1450575590133667,0.6826903223991394,9.855306625366211,0.0,1.5688916444778442,10.84766674041748,9.278775215148926,154,0.4501572646103897,0
tiny11,test_short_korean,short,cell1_abs_lookup,Cell-1 |x| lookup,abs,8,0.5,1.2830359935760498,0.5670270323753357,10.382869720458984,0.028985507786273956,1.5688916444778442,11.048494338989258,9.479602813720703,154,0.5,0
tiny11,test_short_korean,short,cell1_abs_lookup,Cell-1 |x| lookup,abs,9,0.55,1.1021106243133545,0.6574046015739441,10.023815155029297,0.07246376574039459,1.5688916444778442,10.953126907348633,9.384235382080078,154,0.5498427353896103,0
tiny11,test_short_korean,short,cell1_abs_lookup,Cell-1 |x| lookup,abs,10,0.6,1.0351554155349731,0.6064220666885376,8.802352905273438,0.07246376574039459,1.5688916444778442,9.67625904083252,8.107367515563965,154,0.6000786323051948,0
tiny11,test_short_korean,short,cell1_abs_lookup,Cell-1 |x| lookup,abs,11,0.65,1.0162723064422607,0.5865918397903442,7.335039138793945,0.1304347813129425,1.5688916444778442,8.50445556640625,6.935564041137695,154,0.6499213676948052,0
tiny11,test_short_korean,short,cell1_abs_lookup,Cell-1 |x| lookup,abs,12,0.7,0.9830427169799805,0.5127346515655518,5.599457263946533,0.15942029654979706,1.5688916444778442,6.508251190185547,4.939359664916992,154,0.7001572646103897,0
tiny11,test_short_korean,short,cell1_abs_lookup,Cell-1 |x| lookup,abs,13,0.75,0.9130253195762634,0.4669097661972046,4.0768656730651855,0.18840579688549042,1.5688916444778442,5.016720771789551,3.447829246520996,154,0.75,0
tiny11,test_short_korean,short,cell1_abs_lookup,Cell-1 |x| lookup,abs,14,0.8,0.8069713115692139,0.36675775051116943,2.648289442062378,0.30434784293174744,1.5688916444778442,3.6293179988861084,2.0604262351989746,154,0.7998427353896103,0
tiny11,test_short_korean,short,cell1_abs_lookup,Cell-1 |x| lookup,abs,15,0.85,0.6872668266296387,0.25354117155075073,1.4720523357391357,0.4637681245803833,1.5688916444778442,2.573212146759033,1.004320502281189,154,0.8500786323051948,0
tiny11,test_short_korean,short,cell1_abs_lookup,Cell-1 |x| lookup,abs,16,0.9,0.5764056444168091,0.17657393217086792,1.065136194229126,0.52173912525177,1.5688916444778442,2.1836092472076416,0.6147176027297974,154,0.8999213676948052,0
tiny11,test_short_korean,short,cell1_abs_lookup,Cell-1 |x| lookup,abs,17,0.95,0.4059082269668579,0.08462733030319214,0.3691733181476593,0.7246376872062683,1.5688916444778442,1.645933985710144,0.0770423412322998,154,0.9501572646103896,0
tiny11,test_short_korean,short,cell1_abs_twoline,Cell-1 |x| 2-line,abs,0,0.1,1.1506519317626953,0.869526743888855,11.324907302856445,0.0,1.5688916444778442,12.58060359954834,11.011712074279785,154,0.1000786323051948,0
tiny11,test_short_korean,short,cell1_abs_twoline,Cell-1 |x| 2-line,abs,1,0.15,1.1357173919677734,0.8244546055793762,11.475851058959961,0.0,1.5688916444778442,12.640827178955078,11.071935653686523,154,0.14992136769480519,0
tiny11,test_short_korean,short,cell1_abs_twoline,Cell-1 |x| 2-line,abs,2,0.2,1.0957518815994263,0.7595387697219849,10.235031127929688,0.0,1.5688916444778442,11.474833488464355,9.9059419631958,154,0.2001572646103896,0
tiny11,test_short_korean,short,cell1_abs_twoline,Cell-1 |x| 2-line,abs,3,0.25,1.0002152919769287,0.7721216678619385,9.844310760498047,0.0,1.5688916444778442,11.007323265075684,9.438431739807129,154,0.25,0
tiny11,test_short_korean,short,cell1_abs_twoline,Cell-1 |x| 2-line,abs,4,0.3,1.1211950778961182,0.822573184967041,10.33736515045166,0.0,1.5688916444778442,11.377653121948242,9.808761596679688,154,0.29984273538961037,0
tiny11,test_short_korean,short,cell1_abs_twoline,Cell-1 |x| 2-line,abs,5,0.35,1.1835945844650269,0.9743735790252686,11.425046920776367,0.0,1.5688916444778442,12.57112979888916,11.002238273620605,154,0.35007863230519487,0
tiny11,test_short_korean,short,cell1_abs_twoline,Cell-1 |x| 2-line,abs,6,0.4,1.0987193584442139,0.7250996828079224,11.008398056030273,0.0,1.5688916444778442,12.05092716217041,10.482035636901855,154,0.39992136769480513,0
tiny11,test_short_korean,short,cell1_abs_twoline,Cell-1 |x| 2-line,abs,7,0.45,1.252368688583374,0.6014089584350586,11.044900894165039,0.0,1.5688916444778442,12.045587539672852,10.476696014404297,154,0.4501572646103897,0
tiny11,test_short_korean,short,cell1_abs_twoline,Cell-1 |x| 2-line,abs,8,0.5,1.4971463680267334,0.5785152912139893,11.782120704650879,0.0,1.5688916444778442,12.754877090454102,11.185985565185547,154,0.5,0
tiny11,test_short_korean,short,cell1_abs_twoline,Cell-1 |x| 2-line,abs,9,0.55,1.2045648097991943,0.5915085077285767,11.167269706726074,0.028985507786273956,1.5688916444778442,12.194334030151367,10.625442504882812,154,0.5498427353896103,0
tiny11,test_short_korean,short,cell1_abs_twoline,Cell-1 |x| 2-line,abs,10,0.6,1.0977671146392822,0.7829424142837524,10.25994873046875,0.0,1.5688916444778442,11.314530372619629,9.745638847351074,154,0.6000786323051948,0
tiny11,test_short_korean,short,cell1_abs_twoline,Cell-1 |x| 2-line,abs,11,0.65,1.0839145183563232,0.6022446155548096,8.656599998474121,0.11594203114509583,1.5688916444778442,9.764203071594238,8.195311546325684,154,0.6499213676948052,0
tiny11,test_short_korean,short,cell1_abs_twoline,Cell-1 |x| 2-line,abs,12,0.7,0.9886446595191956,0.5222866535186768,6.174266338348389,0.07246376574039459,1.5688916444778442,6.992897033691406,5.424005508422852,154,0.7001572646103897,0
tiny11,test_short_korean,short,cell1_abs_twoline,Cell-1 |x| 2-line,abs,13,0.75,0.8685028553009033,0.40646082162857056,3.5511956214904785,0.28985506296157837,1.5688916444778442,4.655009746551514,3.086118221282959,154,0.75,0
tiny11,test_short_korean,short,cell1_abs_twoline,Cell-1 |x| 2-line,abs,14,0.8,0.8366816639900208,0.4133514165878296,2.6344969272613525,0.3478260934352875,1.5688916444778442,3.505586624145508,1.9366949796676636,154,0.7998427353896103,0
tiny11,test_short_korean,short,cell1_abs_twoline,Cell-1 |x| 2-line,abs,15,0.85,0.6849202513694763,0.2506456971168518,1.6972635984420776,0.49275362491607666,1.5688916444778442,2.719721555709839,1.1508299112319946,154,0.8500786323051948,0
tiny11,test_short_korean,short,cell1_abs_twoline,Cell-1 |x| 2-line,abs,16,0.9,0.565674901008606,0.1679484248161316,1.004496455192566,0.5652173757553101,1.5688916444778442,2.1867339611053467,0.6178423166275024,154,0.8999213676948052,0
tiny11,test_short_korean,short,cell1_abs_twoline,Cell-1 |x| 2-line,abs,17,0.95,0.40551692247390747,0.08381801843643188,0.34929150342941284,0.739130437374115,1.5688916444778442,1.5938974618911743,0.025005817413330078,154,0.9501572646103896,0
tiny11,test_short_korean,short,cell1_x2_lookup,Cell-1 X² lookup,x2,0,0.1,1.1648569107055664,0.9513976573944092,10.741769790649414,0.0,1.5688916444778442,11.645204544067383,10.076313018798828,154,0.1000786323051948,0
tiny11,test_short_korean,short,cell1_x2_lookup,Cell-1 X² lookup,x2,1,0.15,1.1700078248977661,0.9663748145103455,11.08104419708252,0.0,1.5688916444778442,12.017309188842773,10.448417663574219,154,0.14992136769480519,0
tiny11,test_short_korean,short,cell1_x2_lookup,Cell-1 X² lookup,x2,2,0.2,1.1313719749450684,0.8538607358932495,11.189868927001953,0.0,1.5688916444778442,12.061162948608398,10.492271423339844,154,0.2001572646103896,0
