case_key,method,budget_index,repetition,runtime_ms
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,0,0,0.275385
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,0,1,0.257622
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_abs,0,0,0.094697
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_abs,0,1,0.078447
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2,0,0,0.09088
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2,0,1,0.077064
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,wcell1,0,0,0.08576
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,wcell1,0,1,0.07467
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,1,0,0.254145
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,1,1,0.230591
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_abs,1,0,0.083406
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_abs,1,1,0.077004
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2,1,0,0.089527
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2,1,1,0.086041
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,wcell1,1,0,0.087313
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,wcell1,1,1,0.091481
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,2,0,0.22964
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,2,1,0.232175
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_abs,2,0,0.09097
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_abs,2,1,0.081662
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2,2,0,0.088055
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2,2,1,0.083035
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,wcell1,2,0,0.089959
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,wcell1,2,1,0.082384
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,3,0,0.236702
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,3,1,0.234538
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_abs,3,0,0.088356
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_abs,3,1,0.093315
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2,3,0,0.089878
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,cell1_x2,3,1,0.091601
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,wcell1,3,0,0.086933
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,wcell1,3,1,0.082494
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,4,0,0.244748
qwen05|cal_short_factual|model.layers.0.self_attn.q_proj,paper,4,1,0.238836
