model,prompt,situation,method,method_label,budget_index,budget_fraction,logit_relative_l2_error,logit_cosine_error,dense_to_sparse_kl,top1_agreement,dense_nll,sparse_nll,nll_delta,projection_calls,selected_fraction_mean,fallback_calls
qwen05,test_short_korean,short,paper,Paper,0,0.1,2.7837817668914795,0.5817872285842896,17.25282859802246,0.0,4.304563045501709,20.053892135620117,15.74932861328125,168,0.09144233351235231,0
qwen05,test_short_korean,short,paper,Paper,1,0.15,1.5708025693893433,0.5793906450271606,10.181412696838379,0.018518518656492233,4.304563045501709,12.702648162841797,8.39808464050293,168,0.14696059344790546,0
qwen05,test_short_korean,short,paper,Paper,2,0.2,1.462170124053955,0.6160576343536377,14.817022323608398,0.0,4.304563045501709,17.22068977355957,12.916126251220703,168,0.1927698711063373,0
qwen05,test_short_korean,short,paper,Paper,3,0.25,1.3721394538879395,0.6357942819595337,16.641599655151367,0.0555555559694767,4.304563045501709,18.87442970275879,14.569866180419922,168,0.2498825187969925,0
qwen05,test_short_korean,short,paper,Paper,4,0.3,1.706203818321228,0.5815808176994324,19.214160919189453,0.018518518656492233,4.304563045501709,21.44778060913086,17.143217086791992,168,0.29569179645542426,0
qwen05,test_short_korean,short,paper,Paper,5,0.35,1.7553550004959106,0.5838533639907837,17.570819854736328,0.018518518656492233,4.304563045501709,20.31964874267578,16.015085220336914,168,0.3413248523093448,0
qwen05,test_short_korean,short,paper,Paper,6,0.4,1.808910608291626,0.5829622745513916,19.053829193115234,0.0555555559694767,4.304563045501709,20.91780662536621,16.613243103027344,168,0.39701933404940926,0
qwen05,test_short_korean,short,paper,Paper,7,0.45,1.7650007009506226,0.5827885866165161,15.077603340148926,0.018518518656492233,4.304563045501709,17.005990982055664,12.701427459716797,168,0.4426523899033297,0
qwen05,test_short_korean,short,paper,Paper,8,0.5,1.4352912902832031,0.6132923364639282,11.421250343322754,0.0,4.304563045501709,13.245039939880371,8.94047737121582,168,0.49994125939849626,0
qwen05,test_short_korean,short,paper,Paper,9,0.55,1.6725993156433105,0.5729747414588928,18.804719924926758,0.0,4.304563045501709,20.794069290161133,16.489505767822266,168,0.5455743152524167,0
qwen05,test_short_korean,short,paper,Paper,10,0.6,1.120484709739685,0.7090233564376831,11.235880851745605,0.0,4.304563045501709,13.915431022644043,9.610868453979492,168,0.5913835929108485,0
qwen05,test_short_korean,short,paper,Paper,11,0.65,1.195855736732483,0.6394009590148926,14.747814178466797,0.018518518656492233,4.304563045501709,17.095205307006836,12.790641784667969,168,0.6470780746509129,0
qwen05,test_short_korean,short,paper,Paper,12,0.7,1.146275281906128,0.7329597473144531,11.753026962280273,0.018518518656492233,4.304563045501709,14.240668296813965,9.936105728149414,168,0.6927111305048335,0
qwen05,test_short_korean,short,paper,Paper,13,0.75,1.0262092351913452,0.5339404344558716,8.01628303527832,0.03703703731298447,4.304563045501709,10.465677261352539,6.16111421585083,168,0.75,0
qwen05,test_short_korean,short,paper,Paper,14,0.8,1.2267147302627563,0.5214123725891113,8.311933517456055,0.018518518656492233,4.304563045501709,10.940858840942383,6.636295795440674,168,0.7956330558539206,0
qwen05,test_short_korean,short,paper,Paper,15,0.85,0.9929686784744263,0.5457231998443604,6.882623672485352,0.018518518656492233,4.304563045501709,9.546911239624023,5.2423481941223145,168,0.8414423335123524,0
qwen05,test_short_korean,short,paper,Paper,16,0.9,0.8930570483207703,0.43833255767822266,5.17722225189209,0.1666666716337204,4.304563045501709,8.215024948120117,3.910461902618408,168,0.8969605934479055,0
qwen05,test_short_korean,short,paper,Paper,17,0.95,0.44171279668807983,0.09475260972976685,1.2693862915039062,0.46296295523643494,4.304563045501709,4.709603309631348,0.40504026412963867,168,0.9427698711063374,0
qwen05,test_short_korean,short,paper_s,Paper-s,0,0.1,1.327074408531189,1.0981916189193726,14.11256217956543,0.0,4.304563045501709,16.663772583007812,12.359209060668945,168,0.03703175349087003,0
