model,prompt,situation,method,method_label,score_kind,budget_index,budget_fraction,logit_relative_l2_error,logit_cosine_error,dense_to_sparse_kl,top1_agreement,dense_nll,sparse_nll,nll_delta,projection_calls,selected_fraction_mean,fallback_calls
smol360,test_short_korean,short,paper,Paper |x|,abs,0,0.1,1.4550331830978394,1.2581766843795776,13.3734712600708,0.0,2.2992043495178223,14.83187198638916,12.53266716003418,224,0.1,0
smol360,test_short_korean,short,paper,Paper |x|,abs,1,0.15,1.3088048696517944,0.8602938652038574,14.009166717529297,0.0,2.2992043495178223,15.384810447692871,13.08560562133789,224,0.14999999999999997,0
smol360,test_short_korean,short,paper,Paper |x|,abs,2,0.2,1.497231125831604,0.9537933468818665,13.960890769958496,0.0,2.2992043495178223,15.572006225585938,13.272802352905273,224,0.2,0
smol360,test_short_korean,short,paper,Paper |x|,abs,3,0.25,1.518850564956665,1.0472666025161743,14.233654975891113,0.0,2.2992043495178223,15.615250587463379,13.316045761108398,224,0.25,0
smol360,test_short_korean,short,paper,Paper |x|,abs,4,0.3,1.3111202716827393,0.907960057258606,14.435826301574707,0.010101010091602802,2.2992043495178223,15.67151165008545,13.372306823730469,224,0.29999999999999993,0
smol360,test_short_korean,short,paper,Paper |x|,abs,5,0.35,1.2996090650558472,0.791459321975708,14.244318008422852,0.0,2.2992043495178223,15.653108596801758,13.353904724121094,224,0.35,0
smol360,test_short_korean,short,paper,Paper |x|,abs,6,0.4,1.3404430150985718,0.9031746983528137,15.617695808410645,0.0,2.2992043495178223,16.898778915405273,14.59957504272461,224,0.4,0
smol360,test_short_korean,short,paper,Paper |x|,abs,7,0.45,1.2857282161712646,0.9236397743225098,16.30095672607422,0.010101010091602802,2.2992043495178223,17.93090057373047,15.631696701049805,224,0.4500000000000001,0
smol360,test_short_korean,short,paper,Paper |x|,abs,8,0.5,1.4669774770736694,0.7042027115821838,14.236993789672852,0.0,2.2992043495178223,15.639744758605957,13.340539932250977,224,0.5,0
smol360,test_short_korean,short,paper,Paper |x|,abs,9,0.55,1.139840841293335,0.8208562135696411,9.342373847961426,0.03030303120613098,2.2992043495178223,10.781543731689453,8.482339859008789,224,0.5499999999999999,0
smol360,test_short_korean,short,paper,Paper |x|,abs,10,0.6,1.0782774686813354,0.7177953720092773,10.070685386657715,0.010101010091602802,2.2992043495178223,11.586241722106934,9.287036895751953,224,0.5999999999999999,0
smol360,test_short_korean,short,paper,Paper |x|,abs,11,0.65,1.224058985710144,0.6946475505828857,10.338674545288086,0.0,2.2992043495178223,11.782575607299805,9.48337173461914,224,0.6500000000000001,0
smol360,test_short_korean,short,paper,Paper |x|,abs,12,0.7,1.0653458833694458,0.6878488063812256,7.18440055847168,0.03030303120613098,2.2992043495178223,8.669768333435059,6.370563983917236,224,0.7,0
smol360,test_short_korean,short,paper,Paper |x|,abs,13,0.75,1.0008243322372437,0.6179604530334473,5.745967388153076,0.08080808073282242,2.2992043495178223,7.227728366851807,4.928524017333984,224,0.75,0
smol360,test_short_korean,short,paper,Paper |x|,abs,14,0.8,0.8585012555122375,0.45901429653167725,2.7995901107788086,0.24242424964904785,2.2992043495178223,4.414678573608398,2.115474224090576,224,0.8,0
smol360,test_short_korean,short,paper,Paper |x|,abs,15,0.85,0.7584019303321838,0.33964991569519043,2.208177089691162,0.2626262605190277,2.2992043495178223,3.717890501022339,1.4186861515045166,224,0.8499999999999998,0
smol360,test_short_korean,short,paper,Paper |x|,abs,16,0.9,0.666277289390564,0.2510749101638794,1.3974162340164185,0.38383838534355164,2.2992043495178223,3.063467025756836,0.7642626762390137,224,0.9000000000000002,0
smol360,test_short_korean,short,paper,Paper |x|,abs,17,0.95,0.47970154881477356,0.12120687961578369,0.6668841242790222,0.5858585834503174,2.2992043495178223,2.636380672454834,0.3371763229370117,224,0.9499999999999998,0
smol360,test_short_korean,short,cell1_abs_lookup,Cell-1 |x| lookup,abs,0,0.1,1.339895486831665,0.879148006439209,23.533432006835938,0.0,2.2992043495178223,24.867691040039062,22.5684871673584,224,0.1,0
smol360,test_short_korean,short,cell1_abs_lookup,Cell-1 |x| lookup,abs,1,0.15,1.3400720357894897,0.7338352203369141,12.306607246398926,0.0,2.2992043495178223,13.461551666259766,11.162347793579102,224,0.14999999999999997,0
smol360,test_short_korean,short,cell1_abs_lookup,Cell-1 |x| lookup,abs,2,0.2,2.3635966777801514,1.2935348749160767,23.964305877685547,0.0,2.2992043495178223,25.52550506591797,23.226301193237305,224,0.2,0
smol360,test_short_korean,short,cell1_abs_lookup,Cell-1 |x| lookup,abs,3,0.25,1.407318115234375,0.7950224280357361,15.859108924865723,0.0,2.2992043495178223,17.340805053710938,15.041601181030273,224,0.25,0
smol360,test_short_korean,short,cell1_abs_lookup,Cell-1 |x| lookup,abs,4,0.3,1.1974103450775146,0.747939944267273,13.328445434570312,0.0,2.2992043495178223,14.467098236083984,12.16789436340332,224,0.29999999999999993,0
smol360,test_short_korean,short,cell1_abs_lookup,Cell-1 |x| lookup,abs,5,0.35,1.4845772981643677,1.0277763605117798,15.142228126525879,0.0,2.2992043495178223,16.343311309814453,14.044107437133789,224,0.35,0
smol360,test_short_korean,short,cell1_abs_lookup,Cell-1 |x| lookup,abs,6,0.4,1.312055230140686,0.819044291973114,12.982621192932129,0.0,2.2992043495178223,13.836254119873047,11.537050247192383,224,0.4,0
smol360,test_short_korean,short,cell1_abs_lookup,Cell-1 |x| lookup,abs,7,0.45,1.5617249011993408,1.1372504234313965,17.292612075805664,0.0,2.2992043495178223,18.573162078857422,16.273958206176758,224,0.4500000000000001,0
smol360,test_short_korean,short,cell1_abs_lookup,Cell-1 |x| lookup,abs,8,0.5,1.370144248008728,0.7835391759872437,10.898202896118164,0.010101010091602802,2.2992043495178223,11.70292854309082,9.403724670410156,224,0.5,0
smol360,test_short_korean,short,cell1_abs_lookup,Cell-1 |x| lookup,abs,9,0.55,2.0650205612182617,0.7170131802558899,14.592622756958008,0.010101010091602802,2.2992043495178223,16.41309356689453,14.113889694213867,224,0.5499999999999999,0
smol360,test_short_korean,short,cell1_abs_lookup,Cell-1 |x| lookup,abs,10,0.6,1.0932862758636475,0.6630410552024841,12.1097993850708,0.020202020183205605,2.2992043495178223,13.530467987060547,11.231264114379883,224,0.5999999999999999,0
smol360,test_short_korean,short,cell1_abs_lookup,Cell-1 |x| lookup,abs,11,0.65,0.9705795645713806,0.6489561796188354,7.373139381408691,0.010101010091602802,2.2992043495178223,8.69681453704834,6.397610187530518,224,0.6500000000000001,0
smol360,test_short_korean,short,cell1_abs_lookup,Cell-1 |x| lookup,abs,12,0.7,1.128211259841919,0.6440767645835876,9.009394645690918,0.010101010091602802,2.2992043495178223,10.50919246673584,8.20998764038086,224,0.7,0
smol360,test_short_korean,short,cell1_abs_lookup,Cell-1 |x| lookup,abs,13,0.75,1.0636342763900757,0.5567403435707092,7.001789093017578,0.07070706784725189,2.2992043495178223,8.48412799835205,6.1849236488342285,224,0.75,0
smol360,test_short_korean,short,cell1_abs_lookup,Cell-1 |x| lookup,abs,14,0.8,0.9712996482849121,0.5523922443389893,5.429798603057861,0.1111111119389534,2.2992043495178223,6.893719673156738,4.594515323638916,224,0.8,0
smol360,test_short_korean,short,cell1_abs_lookup,Cell-1 |x| lookup,abs,15,0.85,0.8165684938430786,0.38763272762298584,2.999155282974243,0.1111111119389534,2.2992043495178223,4.5007643699646,2.2015600204467773,224,0.8499999999999998,0
smol360,test_short_korean,short,cell1_abs_lookup,Cell-1 |x| lookup,abs,16,0.9,0.6846409440040588,0.25962305068969727,1.6854873895645142,0.4141414165496826,2.2992043495178223,3.164228677749634,0.8650243282318115,224,0.9000000000000002,0
smol360,test_short_korean,short,cell1_abs_lookup,Cell-1 |x| lookup,abs,17,0.95,0.5720126628875732,0.1750333309173584,0.9154502153396606,0.5555555820465088,2.2992043495178223,2.766472101211548,0.4672677516937256,224,0.9499999999999998,0
smol360,test_short_korean,short,cell1_abs_twoline,Cell-1 |x| 2-line,abs,0,0.1,1.339895486831665,0.879148006439209,23.533432006835938,0.0,2.2992043495178223,24.867691040039062,22.5684871673584,224,0.1,0
smol360,test_short_korean,short,cell1_abs_twoline,Cell-1 |x| 2-line,abs,1,0.15,1.3539081811904907,0.7732202410697937,14.684621810913086,0.0,2.2992043495178223,16.738117218017578,14.438913345336914,224,0.14999999999999997,0
smol360,test_short_korean,short,cell1_abs_twoline,Cell-1 |x| 2-line,abs,2,0.2,1.6579722166061401,1.1931543350219727,17.166545867919922,0.0,2.2992043495178223,18.54532814025879,16.246124267578125,224,0.2,0
smol360,test_short_korean,short,cell1_abs_twoline,Cell-1 |x| 2-line,abs,3,0.25,1.533272624015808,0.7518310546875,13.58185863494873,0.0,2.2992043495178223,15.104972839355469,12.805768966674805,224,0.25,0
smol360,test_short_korean,short,cell1_abs_twoline,Cell-1 |x| 2-line,abs,4,0.3,1.2940291166305542,0.9785277843475342,14.812455177307129,0.0,2.2992043495178223,15.90596866607666,13.60676383972168,224,0.29999999999999993,0
smol360,test_short_korean,short,cell1_abs_twoline,Cell-1 |x| 2-line,abs,5,0.35,1.321018099784851,0.8659948706626892,15.844844818115234,0.0,2.2992043495178223,16.935449600219727,14.636245727539062,224,0.35,0
smol360,test_short_korean,short,cell1_abs_twoline,Cell-1 |x| 2-line,abs,6,0.4,1.312055230140686,0.819044291973114,12.982621192932129,0.0,2.2992043495178223,13.836254119873047,11.537050247192383,224,0.4,0
smol360,test_short_korean,short,cell1_abs_twoline,Cell-1 |x| 2-line,abs,7,0.45,1.2768864631652832,0.7832947373390198,13.584648132324219,0.010101010091602802,2.2992043495178223,15.127481460571289,12.828277587890625,224,0.4500000000000001,0
smol360,test_short_korean,short,cell1_abs_twoline,Cell-1 |x| 2-line,abs,8,0.5,2.148303270339966,0.7122673988342285,17.76768684387207,0.010101010091602802,2.2992043495178223,19.533950805664062,17.2347469329834,224,0.5,0
smol360,test_short_korean,short,cell1_abs_twoline,Cell-1 |x| 2-line,abs,9,0.55,1.2440119981765747,0.8209075331687927,12.96556282043457,0.0,2.2992043495178223,14.571552276611328,12.272348403930664,224,0.5499999999999999,0
smol360,test_short_korean,short,cell1_abs_twoline,Cell-1 |x| 2-line,abs,10,0.6,1.134931206703186,0.767467200756073,13.885455131530762,0.010101010091602802,2.2992043495178223,15.315524101257324,13.016319274902344,224,0.5999999999999999,0
smol360,test_short_korean,short,cell1_abs_twoline,Cell-1 |x| 2-line,abs,11,0.65,1.0252925157546997,0.7639738917350769,8.523862838745117,0.020202020183205605,2.2992043495178223,9.880077362060547,7.580873012542725,224,0.6500000000000001,0
smol360,test_short_korean,short,cell1_abs_twoline,Cell-1 |x| 2-line,abs,12,0.7,1.1368446350097656,0.6320675015449524,9.469970703125,0.020202020183205605,2.2992043495178223,10.965597152709961,8.666393280029297,224,0.7,0
smol360,test_short_korean,short,cell1_abs_twoline,Cell-1 |x| 2-line,abs,13,0.75,1.0236320495605469,0.6023180484771729,7.780696392059326,0.020202020183205605,2.2992043495178223,9.40617847442627,7.106974124908447,224,0.75,0
smol360,test_short_korean,short,cell1_abs_twoline,Cell-1 |x| 2-line,abs,14,0.8,0.9712996482849121,0.5523922443389893,5.429798603057861,0.1111111119389534,2.2992043495178223,6.893719673156738,4.594515323638916,224,0.8,0
smol360,test_short_korean,short,cell1_abs_twoline,Cell-1 |x| 2-line,abs,15,0.85,0.8165684938430786,0.38763272762298584,2.999155282974243,0.1111111119389534,2.2992043495178223,4.5007643699646,2.2015600204467773,224,0.8499999999999998,0
smol360,test_short_korean,short,cell1_abs_twoline,Cell-1 |x| 2-line,abs,16,0.9,0.6846409440040588,0.25962305068969727,1.6854873895645142,0.4141414165496826,2.2992043495178223,3.164228677749634,0.8650243282318115,224,0.9000000000000002,0
smol360,test_short_korean,short,cell1_abs_twoline,Cell-1 |x| 2-line,abs,17,0.95,0.5720126628875732,0.1750333309173584,0.9154502153396606,0.5555555820465088,2.2992043495178223,2.766472101211548,0.4672677516937256,224,0.9499999999999998,0
